ref_id,text,language,english,has_english_translation,new_gold_keywords,new_gold_fields,new_gold_index,new_keyword_suggestions
Mishnah Bava batra 9:3,"הניח בנים גדולים וקטנים, השביחו גדולים את הנכסים, השביחו לאמצע. אם אמרו ראו מה שהניח לנו אבא, הרי אנו עושים ואוכלין, השביחו לעצמן. וכן האשה שהשביחה את הנכסים, השביחה לאמצע. אם אמרה ראו מה שהניח לי בעלי, הרי אני עושה ואוכלת, השביחה לעצמה:",Hebrew,"If he left adult and minor sons—
if the adults improved the property,
they have improved for the common holding;96
if they97 said:
“See what our father has left us, we will labor and consume the profits,” they have improved for themselves.98
And similarly a wife who improved the property,
she has improved for the common holding;
If she said:
“See what my husband has left me, I will labor and consume the profits,”
she has improved for herself.",True,"adult, co-heirs, enhancement, estate enhancement, heir, minor, paternal estate, property, shared inheritance, son, widow's inheritance, woman","Inheritance, Intestacy, Minors, Property of Women","אמצע, גדול, גדולים וקטנים, השבחת נכסים, יורש, עושה ואוכל, עושים ואוכלין, קטן",
Mishnah Bava batra 9:4,"האחין השתפין שנפל אחד מהן לאמנות, נפל לאמצע. חלה ונתרפא, נתרפא משל עצמו. האחין שעשו מקצתן שושבינות בחיי האב, חזרה שושבינות, חזרה לאמצע, שהשושבינות נגבית בבית דין. אבל השולח לחברו כדי יין וכדי שמן, אינן נגבין בבית דין, מפני שהן גמילות חסדים:",Hebrew,"Brothers who were partners of whom one fell into imperial service99
—
his liability is from the common holding;100
if he became ill, and received medical treatment, the medical treatment is from his own. The brothers some of whom made groomsmen’s gifts during the life of the father—
if the groomsmen’s gifts were returned, they have returned to the common holding,101
for groomsmen’s gifts are claimed in court.102
But one who sends to his fellow jars of wine or jars of oil,
they are not collected in court,
because they are the granting of favors.103",True,"brother, co-heirs, collective acquisition, estate enhancement, father, gift, gifts of groomsmen, partner, public service, recoverable gifts, shared inheritance, societas, specification of assets","Debts and Obligations, Family, Inheritance, Intestacy, Partnership, Verbal Contracts","אומנות, אחים שותפים, אמנות, אמצע, גבייה בבית דין, גמילות חסדים, נגבית בבית דין, שושבינות","gratuitous gift, medical expense, medical expenses"
Mishnah Bava batra 9:5,"השולח סבלונות לבית חמיו, שלח שם מאה מנה ואכל שם סעודת חתן אפלו בדינר, אינן נגבין. לא אכל שם סעודת חתן, הרי אלו נגבין. שלח סבלונות מרבין שיחזרו עמה לבית בעלה, הרי אלו נגבין. סבלונות מעטין שתשתמש בהן בבית אביה, אינן נגבין:",Hebrew,"One who sends betrothal gifts to the house of his father-in-law,
if he sent there gifts worth ten thousand dinar, and ate even a dinar’s worth of a betrothal meal—
they may not be claimed;
if he did not eat a betrothal meal—
then they may be claimed.
If he sent many gifts, that might return104 with her to her husband’s house—
then they may be claimed;
few gifts, that105 she might use in her father’s house—
they may not be claimed.",True,"betrothal gifts, conditional gift, divorce, marriage conditions, recoverable gifts","Dowry, Marital Arrangements, Obligations","גבייה, חמיו, נגבין, סבלונות, סעודת חתן",
Mishnah Bava batra 9:6,"שכיב מרע שכתב כל נכסיו לאחרים ושיר קרקע כל שהוא, מתנתו קימת. לא שיר קרקע כל שהוא, אין מתנתו קימת. לא כתב בה שכיב מרע, הוא אומר שכיב מרע היה והן אומרים בריא היה, צריך להביא ראיה שהיה שכיב מרע, דברי רבי מאיר. וחכמים אומרים, המוציא מחברו עליו הראיה:",Hebrew,"One who was deathly ill who gifted all106 of his property to others in writing
and left over for himself even the slightest bit of land—
his gift is valid;
if he did not leave over even the slightest bit of land—
his gift is not valid.
If he did not write in it “deathly ill”:
he says that he was107 deathly ill, and they say that he was healthy—
he must bring proof that he was deathly ill—
the words of R. Meir.
But the Sages say:
The one who claims property from his fellow has the burden of proof.",True,"Gift vs. Inheritance, deathbed gift, gift, immovable property, nullity, property transfer, recoverable gifts, specification of assets","Causa Mortis, Deeds of Gift as Wills, Evidence","בריא, המוציא מחברו עליו הראיה, מוציא מחברו, מתנה, נכס, קרקע, ראיה, שיור, שיר קרקע, שכיב מרע","burden of proof, validity of gift"
Mishnah Bava batra 9:7,"המחלק נכסיו על פיו, רבי אליעזר אומר, אחד בריא ואחד מסכן, נכסים שיש להן אחריות נקנין בכסף ובשטר ובחזקה, ושאין להן אחריות אין נקנין אלא במשיכה. אמרו לו, מעשה באמן של בני רוכל שהיתה חולה ואמרה תנו כבינתי לבתי והיא בשנים עשר מנה, ומתה, וקימו את דבריה. אמר להן, בני רוכל תקברם אמן. וחכמים אומרים, בשבת, דבריו קימין, מפני שאינו יכול לכתוב. אבל לא בחל. רבי יהושע אומר, בשבת אמרו, קל וחמר בחל. כיוצא בו, זכין לקטן, ואין זכין לגדול. רבי יהושע אומר, לקטן אמרו, קל וחמר לגדול:",Hebrew,"One who distributes his property according to his own determination,
R. Eliezer says:
Whether he is healthy or in danger of dying—
property to which security applies is acquired by money, deed, or possession;
and that to which security does not apply is acquired only by pulling.
They said to him:
It once happened that the mother of the sons of an itinerant merchant108 was ill,
and she said: “Give my cloak to my daughter,”
and it cost 1,200,
and she died,
and they upheld her words.
He said to them:
The mother will bury the sons of the itinerant merchant.109
And the Sages110 say:
On the Sabbath, his words are valid, because he is not able to write;
but not on a weekday.
R. Joshua says:
They said it with reference to the Sabbath,
and by argument of lesser and greater with reference to a weekday.
Similarly: one can make acquisition on behalf of a minor,
but not on behalf of an adult.111 R. Joshua says:
They said it on behalf of a minor, and by argument of lesser and greater also for an adult.",True,"Gift vs. Inheritance, actual possession, adult, daughter, deathbed gift, division of estate before death, gift, immovable property, inter vivos transfer, minor, minor’s protection, modes of acquisition, mother, movable property, verbal instruction","Acquisition, Causa Mortis, Classification of Things, Conveyance, Deeds of Gift as Wills, Forms of Will, Legal Capacity","בריא, גדול, המחלק נכסיו על פיו, זכייה, חזקה, כסף שטר ומשיכה, מחלק נכסיו על פיו, מסוכן, משיכה, נכסים שאין להם אחריות, נכסים שיש להם אחריות, קטן, קל וחומר, קניין, שטר",
Mishnah Bava batra 9:8,"נפל הבית עליו ועל אביו או עליו ועל מורישיו, והיתה עליו כתבת אשה ובעל חוב, יורשי האב אומרים, הבן מת ראשון ואחר כך מת האב, בעלי החוב אומרים, האב מת ראשון ואחר כך מת הבן, בית שמאי אומרים, יחלקו. ובית הלל אומרים, נכסים בחזקתן:",Hebrew,"If a house fell upon him and his father,
or upon him and one from whom he inherits,112
and he had the obligation of a marriage settlement for a wife or a creditor:
the heirs of the father say: “The son died first and afterwards the father died”;
the creditors say: “The father died first and afterwards the son died”—
the House of Shammai say:
Let them split it;
but the House of Hillel say:
The property remains in its prior state of possession.11",True,"Creditor Priority, actual possession, creditor, debt, father, heir, inheritance conflict, marriage contract, order of death, son","Debts and Obligations, Inheritance, Intestacy","בעל חוב, חזקה, יורש, כתובה, מוריש, נכסים בחזקתן",simultaneous death
Mishnah Bava batra 9:9,"נפל הבית עליו ועל אשתו, יורשי הבעל אומרים, האשה מתה ראשונה ואחר כך מת הבעל, יורשי האשה אומרים, הבעל מת ראשון ואחר כך מתה האשה, בית שמאי אומרים, יחלקו. ובית הלל אומרים, נכסים בחזקתן, כתבה בחזקת יורשי הבעל, נכסים הנכנסים והיוצאין עמה בחזקת יורשי האב:",Hebrew,"If a house fell upon him and upon his wife:
the heirs of the husband say: “The wife died first and afterwards the husband died”;
the heirs of the wife say: “The husband died first and afterwards the wife died”—
the House of Shammai say:
Let them split it;
But the House of Hillel say:
The property remains in its prior possession:
the marriage settlement remains in the possession of the heirs of the husband;
property that comes in and goes out with her remains in the possession
of the heirs of the [wife’s] father.114",True,"actual possession, dowry property, father, female succession, heir, inheritance conflict, marriage contract, order of death, shared inheritance, wife's heirs, woman","47084, Intestacy, Property of Women","חזקה, חלוקה, יורשי האישה, יורשי הבעל, כתובה, נכסים בחזקתן, נכסים הנכנסים והיוצאים, נכסים הנכנסים והיוצאים עמה","husband's heirs, simultaneous death"
Mishnah Bava batra 9:10,"נפל הבית עליו ועל אמו, אלו ואלו מודים שיחלקו. אמר רבי עקיבא, מודה אני בזה שהנכסים בחזקתן. אמר לו בן עזאי, על החלוקין אנו מצטערין, אלא שבאת לחלק עלינו את השוין:",Hebrew,"If a house fell upon him and upon his mother—
these and these concede that they split it.
Said R. Aqiva:
I concede in this case that the property remains in its prior possession.
Said Ben Azzai to him:
We grieve over the cases that are subject to dispute;
but you come to make disputed cases where they hold the same opinion.",True,"Inheritance priority, actual possession, female succession, heir, inheritance conflict, mother, order of death, shared inheritance, son","46354, 46356","חזקה, חלוקה, נכסים בחזקתן",
Tosefta Bava Batra 7:1,"כל שהוא לפנים מחבירו הוא קודם את חבירו. ונחלה משמשת והולכת ועולה, אפי' עד ראובן. בן האחין זה את זה, והאחיות זו את זו, האחין את האחיות, והאחיות את האחין, נוחלין ומנחילין. ממזר מוריש את קרוביו. גוי ועבד הבאו על בת ישראל אפי' חזר הגוי ונתגייר, עבד ונשתחרר, נכסיו כנכסי הגר וכנכסי עבד משוחרר. כל הקודם בהן זכה.",Hebrew,"Whoever is closer [in relationship] than his fellow takes precedence over his fellow. And an inheritance goes on upward, even to Reuben [that is, the ultimate progenitor of the tribe]. And brothers so far as one another are concerned, sisters so far as one another are concerned, brothers so far as the sisters are concerned, and sisters so far as the brothers are concerned, both inherit and bequeath A mamzer causes his relatives to inherit. A gentile and a slave who had intercourse with an Israelite girl, even though thereafter the gentile went and converted, the slave went and was emancipated. his estate is in the status of the estate of a proselyte, or his estate is in the status of a freed slave. So whoever acquired possession of them first gains title to them.",True,"agnatic succession, bastard, bona vacantia, brother, convert, degrees of kinship, eligibility to Inherit, freedperson, heir, indirect heir, intestate succession, order of succession, property, sister, slave","46028, Abandoned Property, Classes of Heirs, Intestacy","גוי, ממזר, נכסי הגר, נכסי עבד משוחרר, עבד, עבד משוחרר",ownerless property
Tosefta Bava Batra 7:2,"נאמנת חיה לומר זה יצא ראשון. אימתי, בזמן שאין שם ערער, אבל יש שם ערער אינה נאמנת. ר' לעזר או' אם הוחזקה על עמדה נאמנת, ואם לאו, אינה נאמנת.",Hebrew,"A midwife is believed to say, ""This one came out first."" Under what circumstances? When there is no contesting opinion. But if there is a contesting opinion, she is not believed. R. Eleazar says, ""If she was assumed to have been on the spot, she is believed. ""And if not, she is not believed.""",True,"disputed inheritance, firstborn, order of birth, primogeniture, woman testimony","Classes of Heirs, Firstborn Inheritance Rights, Inheritance","חיה, עמדה, ערער",
Tosefta Bava Batra 7:3,"היו מוחזקין בו שהוא בכור, ובשעת מתנה אמ' אינו בכור, אינו נאמן. היו מוחזקין בו שאינו בכור, ובשעת מתנה אמ' בכור הוא, נאמן. היו מוחזקין בו שהוא בכור, ובשעת מיתה אמ' בכור הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' בני הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' אינו בני, אינו נאמן. שאין בנו, ובשעת מיתתו אמ' בנו הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' אחי הוא, אינו נאמן. שהוא אחיו, ובשעת מיתתו אמ' בני הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' עבדו הוא, אין נאמן. שהוא עבדו, ובשעת מיתה אמ' בנו הוא, נאמן. היה עומד בין המוכסין ואמ' בני הוא, וחזר ואמ' עבדי הוא, נאמן. עבדי הוא, וחזר ואמ' בני הוא, אין נאמן.",Hebrew,"A. [If] people took for granted concerning someone that he was a firstborn, and at the time of the gift, [the father] said, ""He is not the firstborn,"" [the father] is not believed. [If] people took for granted concerning someone that he was not the firstborn, and at the time of the gift, [the father] said, ""He is the firstborn,"" he is believed [If] people took for granted concerning someone that he was his son, and at the time of his death, the [putative father] said, ""He is not my son,"" he is not believed. [If] people took for granted concerning someone that he was not his son, and at the time of [the man's] death, he said, ""He is my son, he is believed. [If] people took for granted concerning someone that he was his son, and at the time of his death, he said, ""He is [my] brother,"" he is believed [If] people took for granted concerning someone  that he was his brother, and at the time of his death, he said, ""He is my slave,"" he is not believed [If] people took for granted concerning someone that he was his slave, and at the time of his death, he said, ""He is my son,"" he is believed. [If he was standing among tax-collectors and said, ""He is my son,"" and then he went and said, ""He is my slave,"" he is believed. [If] he said, ""He is my slave,"" and then he went and said, ""He is my son,"" he is not believed.",True,"Primogeniture, deathbed statement, disputed inheritance, disputed lineage, eligibility to Inherit, father, firstborn, paterfamilias, presumed heir, presumed slave, presumed son, primogeniture, proof, slave, son, tax collectors, testator","Classes of Heirs, Deeds of Gift as Wills, Disinheritance, Inheritance, Status","בכור, מוחזק, מוכס, מתנה, נאמנות, עבד, שעת מיתה, שעת מתנה",
Tosefta Bava Batra 7:4,"אין הבכור נוטל פי שנים בשבח שהשביחו נכסים לאחר מיתת אביהן. ר' או' אומ' אני הבכור נוטל פי שנים בשבח שהשביחו נכסים לאחר מיתת אביהן, שאף שלו השביח בשלהן. כיצד, היתה לו בהמה מוחכרת, ומושכרת, אצל אחרים, ופרה רועה באפר, הבכור נוטל פי שנים. ואין נוטל פי שנים בזרוע ובלחיים ובקיבה.",Hebrew,"The firstborn does not take a double portion in the increase which accrues to the estate after the death of the father. Rabbi says, ""I say, The firstborn does take a double portion in the increase which accrued to the estate after the death of the father.' ""For his portion increased right along with that of [the other brothers]. ""How so? ""[If] he had a beast let out or hired out with others, or a cow pasturing in the field ""the firstborn takes a double portion. ""And [the firstborn of a priest] takes a double portion in the shoulder, check, and maw.""",True,"co-heirs, double portion, enhancement, estate enhancement, firstborn, heir, primogeniture, prospective estate, shared inheritance","Firstborn Inheritance Rights, Inheritance","בכור, פי שנים, שבח נכסים",
Tosefta Bava Batra 7:5,"ר' או' כל דבר שלא פילפלו בו יתומין לאחר מיתת אביהן הבכור נוטל פי שנים. וחכמים או' אין נוטל פי שנים אלא בכל אשר ימצא לו. אבל בנה בניין, נטע נטיעות, הכל שוין שנוטל פי שנים.",Hebrew,"Rabbi says, Of anything which the heirs did not have to search out [but which was ready at hand] after the death of their father-the firstborn takes a double portion."" And sages say, ""He takes a double portion only in whatever is searched out [at the point of the father's death]."" But if [the father] had built a house or planted a field, all unanimously agree that [the firstborn] takes a double portion. ",True,"actual possession, double portion, estate enhancement, firstborn, heir, primogeniture, prospective estate, shared inheritance","Firstborn Inheritance Rights, Inheritance","בכור, יתומים, פי שנים, פילפול",
